id,PDF_url,title,authors,dateline,abstract
1809.09125,https://arxiv.org/pdf/1809.09125,"
High-accuracy mass, spin, and recoil predictions of generic black-hole  merger remnants","Vijay Varma,Davide Gerosa,François Hébert,Leo C. Stein,Hao Zhang",(Submitted on 24 Sep 2018)," We present accurate fits for the remnant properties of generically precessing
binary black holes, trained on large banks of numerical-relativity simulations.
We use Gaussian process regression to interpolate the remnant mass, spin, and
recoil velocity in the 7-dimensional parameter space of precessing black-hole
binaries. For precessing systems, our errors in estimating the remnant mass,
spin magnitude, and kick magnitude are lower than those of existing fitting
formulae by at least an order of magnitude. In addition, we also model the
remnant spin and kick directions. Improvement is also reported for aligned-spin
systems. Being trained directly on precessing simulations, our fits are free
from ambiguities regarding the initial frequency at which precessing quantities
are defined. As a byproduct, we also provide error estimates for all fitted
quantities, which can be consistently incorporated into current and future
gravitational-wave parameter-estimation analyses. Our model(s) are made
publicly available through a fast and easy-to-use Python module called
surfinBH.
"
1802.10027,https://arxiv.org/pdf/1802.10027,"
GRB 170817A-GW170817-AT 2017gfo and the observations of NS-NS, NS-WD and  WD-WD mergers","J. A. Rueda,R. Ruffini,Y. Wang,U. Barres de Almeida,C. L. Bianco,Y. Chen,R. V. Lobato,C. Maia,D. Primorac,R. Moradi,J. F. Rodriguez",(Submitted on 27 Feb 2018 (," The LIGO-Virgo Collaboration has announced the detection of GW170817 and has
associated it with GRB 170817A. These signals have been followed after 11 hours
by the optical and infrared emission of AT 2017gfo. The origin of this complex
phenomenon has been attributed to a neutron star-neutron star (NS-NS) merger.
In order to probe this association we confront our current understanding of the
gravitational waves and associated electromagnetic radiation with four observed
GRBs originating in binaries composed of different combinations NSs and white
dwarfs (WDs). We consider 1) GRB 090510 the prototype of NS-NS merger leading
to a black hole (BH); 2) GRB 130603B the prototype of a NS-NS merger leading to
massive NS (MNS) with an associated kilonova; 3) GRB 060614 the prototype of a
NS-WD merger leading to a MNS with an associated kilonova candidate; 4) GRB
170817A the prototype of a WD-WD merger leading to massive WD with an
associated AT 2017gfo-like emission. None of these systems support the above
mentioned association. The clear association between GRB 170817A and AT 2017gfo
has led to introduce a new model based on on a new subfamily of GRBs
originating from WD-WD mergers. We show how this novel model is in agreement
with the exceptional observations in the optical, infrared, X- and gamma-rays
of GRB 170817A-AT 2017gfo.
"
1808.07521,https://arxiv.org/pdf/1808.07521,"
Aspects of the BTZ black hole interacting with fields","Leonardo Ortíz,Nora Bretón",(Submitted on 22 Aug 2018 (," We show that there is no superradiance for the Dirac field in the rotating
BTZ black hole if the field vanishes at infinity. Then we outline the
calculation of the expression for the renormalized energy-momentum tensor, the
effective action as well as the heat kernel for the Dirac field for the BTZ
black hole. Finally we point out how to construct the Hartle-Hawking-Israel
state for the real scalar field in the non-rotating BTZ black hole in two and
three dimensions.
"
1808.00847,https://arxiv.org/pdf/1808.00847,"
Effective Field Theory of Black Hole Echoes","C.P. Burgess,Ryan Plestid,Markus Rummel",(Submitted on 2 Aug 2018 (," Gravitational wave `echoes' during black-hole merging events have been
advocated as possible signals of modifications to gravity in the strong-field
(but semiclassical) regime. In these proposals the observable effect comes
entirely from the appearance of nonzero reflection probability at the horizon,
which vanishes for a standard black hole. We show how to apply EFT reasoning to
these arguments, using and extending earlier work for localized systems that
relates choices of boundary condition to the action for the physics responsible
for these boundary conditions. EFT reasoning applied to this action argues that
linear `Robin' boundary conditions dominate at low energies, and we determine
the relationship between the corresponding effective coupling (whose value is
the one relevant low-energy prediction of particular modifications to General
Relativity for these systems) and the phenomenologically measurable
near-horizon reflection coefficient. Because this connection involves only
near-horizon physics it is comparatively simple to establish, and we do so for
perturbations in both the Schwarzschild geometry (which is the one most often
studied theoretically) and the Kerr geometry (which is the one of observational
interest for post-merger ring down). In passing we identify the
renormalization-group evolution of the effective couplings as a function of a
regularization distance from the horizon, that enforces how physics does not
depend on the precise position where the boundary conditions are imposed. We
show that the perfect-absorber/perfect-emitter boundary conditions of General
Relativity correspond to the only fixed points of this evolution. Nontrivial
running of all other RG evolution reflects how modifications to gravity
necessarily introduce new physics near the horizon.
"
1806.07052,https://arxiv.org/pdf/1806.07052,"
Axionic extension of the Proca action",Shahab Shahidi,(Submitted on 19 Jun 2018 (," In the context of Cartan theory, we will show that the Proca action can be
obtained from the Gauss-Bonnet action for a special choice of the torsion
tensor. This in fact equivalent to the special case of the 4th vector Galileon
Lagrangian. The theory will then be promoted to contain an axion field. It will
be proved that the model admits de Sitter expanding phase with healthy tensor
and vector fluctuations. The scalar sector has 4 degrees of freedom, but only
one of them remains dynamical in the limit $k\rightarrow\infty$. We will
analyze the scalar fluctuations in the small scales limit and obtain the
parameter space of the theory in which all the perturbations remain healthy.
"
1809.02149,https://arxiv.org/pdf/1809.02149,"
Squashing the Boundary of Supersymmetric AdS$_5$ Black Holes","Davide Cassani,Lorenzo Papini",(Submitted on 6 Sep 2018 (," We construct new supersymmetric black holes in five-dimensional supergravity
with an arbitrary number of vector multiplets and Fayet-Iliopoulos gauging.
These are asymptotically locally AdS$_5$ and the conformal boundary comprises a
squashed three-sphere with $\text{SU}(2)\times \text{U}(1)$ symmetry. The
solution depends on two parameters, of which one determines the angular
momentum and the Page electric charges, while the other controls the squashing
at the boundary. The latter is arbitrary, however in the flow towards the
horizon it is attracted to a value that only depends on the other parameter of
the solution. The entropy is reproduced by a simple formula involving the
angular momentum and the Page charges, rather than the holographic charges.
Choosing the appropriate five-dimensional framework, the solution can be
uplifted to type IIB supergravity on $S^5$ and should thus be dual to
$\mathcal{N}=4$ super Yang-Mills on a rotating, squashed Einstein universe.
"
1809.06031,https://arxiv.org/pdf/1809.06031,"
Subregion Action and Complexity","Mohsen Alishahiha,Komeil Babaei Velni,M. Reza Mohammadi Mozaffar",(Submitted on 17 Sep 2018 (," We evaluate finite part of the on-shell action for black brane solutions of
Einstein gravity on different subregions of spacetime enclosed by null
boundaries. These subregions include the intersection of WDW patch with
past/future interior and left/right exterior for a two sided black brane.
Identifying the on-shell action on the exterior regions with subregion
complexity one finds that it obeys subadditivity condition. This gives an
insight to define a new quantity named mutual complexity. We will also consider
certain subregion that is a part of spacetime which could be causally connected
to an operator localized behind/outside the horizon. Taking into account all
terms needed to have a diffeomorphism invariant action with a well-defined
variational principle, one observes that the main contribution that results to
a nontrivial behavior of the on- shell action comes from joint points where two
lightlike boundaries (including horizon) intersect. A spacelike boundary gives
rise to a linear time growth, while we have a classical contribution due to a
timelike boundary that is given by the free energy.
"
1807.10620,https://arxiv.org/pdf/1807.10620,"
Polarization of a stochastic gravitational wave background through  diffusion by massive structures","Giulia Cusin,Ruth Durrer,Pedro G. Ferreira",(Submitted on 27 Jul 2018 (," The geometric optics approximation traditionally used to study the
propagation of gravitational waves on a curved background, breaks down in the
vicinity of compact and extended astrophysical objects, where wave-like effects
like diffusion and generation of polarization occur. We provide a framework to
study the generation of polarization of a stochastic background of
gravitational waves propagating in an inhomogeneous universe. The framework is
general and can be applied to both cosmological and astrophysical gravitational
wave backgrounds in any frequency range. We derive an order of magnitude
estimate of the amount of polarization generated for cosmological and
astrophysical backgrounds, in the frequency range covered by present and
planned gravitational wave experiments. For an astrophysical background in the
PTA and LISA band, the amount of polarization generated is suppressed by a
factor $10^{-4}$ $(10^{-5})$ with respect to anisotropies. For a cosmological
background we get an additional $10^{-2}$ suppression. We speculate on using
our approach to map the distribution of (unresolvable) structures in the
Universe.
"
1805.05959,https://arxiv.org/pdf/1805.05959,"
Non-linear general relativistic effects in the observed redshift","Giuseppe Fanizza,Jaiyul Yoo,Sang Gyu Biern",(Submitted on 15 May 2018 (," We present the second-order expression for the observed redshift, accounting
for all the relativistic effects from the light propagation and from the frame
change at the observer and the source positions. We derive the generic
gauge-transformation law that any observable quantities should satisfy, and we
verify our second-order expression for the observed redshift by explicitly
checking its gauge transformation property. This is the first time an explicit
verification is made for the second-order calculations of observable
quantities. We present our results in popular gauge choices for easy use and
discuss the origin of disagreements in previous calculations.
"
1809.09359,https://arxiv.org/pdf/1809.09359,"
Fast, ultra-luminous X-ray bursts from tidal stripping of White Dwarfs  by Intermediate-Mass Black Holes",Rong-Feng Shen,(Submitted on 25 Sep 2018)," Two X-ray sources were recently discovered by Irwin et al. in compact
companions to elliptical galaxies to show ultra-luminous flares with fast rise
(~ minute) and decay (~ hour), and with a peak luminosity ~$10^{40-42}$ erg/s.
Together with other 5 sources found earlier, they comprise a new type of fast
transients which cannot be attributed to neutron stars but might be to
intermediate-mass black holes (IMBHs; $10^{2-4} M_{\odot}$). The flaring
behaviour is recurrent for at least 3 sources. If the flare represents a short
period of accretion onto the IMBH during the periastron passage of a donor star
on an eccentric (i.e., repeating) or parabolic orbit (non-repeating), we argue
that the flare's rise time corresponds to the duration during which the donor's
tidally stripped mass joins a residual disk at the pericenter. This duration is
in turn equal to the other three time scales: the duration of the stripping,
the sound crossing time of the donor, and the circular orbit time at the
pericenter radius. Only can a white dwarf have a sound crossing time as short
as one minute. Therefore, the donor must be a white dwarf and it was stripped
of ~$10^{-10} M_{\odot}$ upon each passage at several to tens of Schwarzschild
radii from the IMBH. The flux decay corresponds to the viscous drainage of the
supplied mass toward the hole. Aided with long-term X-ray monitoring, this type
of fast transients would be an ideal target for next-generation gravitational
wave detectors.
"
